Marca,Referencia,Stock,PrecoClienteFinal
Tourador,155/80R13,20,2.460
Durun,165/70R13,13,2.630
Fullrun/Autogrip,165/70R13,8,2.630
Fullrun,185/70R13,1,2.760
Durun,175/70R13,7,2.810
Fullrun,175/70R13,7,2.720
Durun,165/70R14,3,2.810
Tourador,175/65R14,44,2.710
Tourador,175/70R14,41,2.830
MINNELL,175/70R14,1,2.850
Firemax,185/60R14,8,2.950
Fullrun,185/60R14,3,2.950
Autogrip,185/60R14,5,2.950
Sportrak,185/60R14,2,2.950
Zextour,185/60R14,89,2.950
Tourador,185/70R14,24,3.030
Firemax,195/70R14,2,3.450
MINNELL,175/65R15,43,3.210
Firemax,175/65R15,2,3.210
Tourador,185/55R15,29,3.090
Durun,185/55R15,1,3.090
MINNELL,185/55R15,50,3.090
Fullrun,185/55R15,78,3.090
Fullrun,185/60R15,18,3.150
Tourador,185/60R15,20,3.010
Tourador,185/65R15,26,3.250
Firemax,185/65R15,1,3.250
MINNELL,185/65R15,21,3.250
Tourador,195/55R15,20,3.240
Fullrun,195/55R15,3,3.360
MINNELL,195/55R15,36,3.360
Durun,195/55R15,2,3.360
GODDARD,195/60R14,2,3.440
Fullrun,195/60R15,17,3.440
Zextour,195/60R15,10,3.440
MINNELL,195/65R15,20,3.720
Tourador,195/65R15,10,3.570
Firemax,195/65R15,1,3.570
Sportrak,195/65R15,1,3.570
Durun,195/65R15,1,3.570
Durun,205/65R15,1,3.850
Fullrun,205/65R15,10,3.850
Durun,205/70R15,7,4.170
Durun,215/70R15,21,4.420
Firemax,215/70R15,29,4.420
Fullrun,215/70R15,14,4.420
Firemax,235/75R15 AT,1,6.350
Tourador,205/55R16,15,3.610
Fullrun,205/60R16,11,4.060
Zextour,205/60R16,16,4.060
Autogrip,205/65R16,23,4.160
Durun,205/65R16,22,4.160
Tourador,215/65R16,16,4.750
Zextour,215/65R16,7,4.750
Fullrun,215/65R16,17,4.750
MINNELL,215/70R16,20,5.260
Tourador,215/70R16 AT,12,6.050
Fullrun,215/70R16 HT,58,5.260
Durun,215/70R16 HT,16,5.260
Firemax,245/70R16,2,7.030
Tourador,245/70R16 AT,19,7.180
Fullrun,245/70R16 AT,14,6.880
Tourador,245/75R16 LT AT,12,8.640
Tourador,245/75R16 LT MT,8,9.900
Tourador,255/70R16 AT,10,7.730
Durun,255/70R16 AT,1,8.560
Firemax,265/70R16,7,7.740
Tourador,265/70R16 AT,20,7.890
Fullrun,265/70R16 AT,20,7.560
MINNELL,205/40ZR17,20,3.990
Fullrun/autogrip,205/40ZR17,22,3.990
Durun,205/40R17,5,3.950
Durun,205/45R17,18,4.050
MINNELL,205/45ZR17,30,4.160
Fullrun,205/45ZR17,7,4.160
Durun,215/45R17,1,4.180
Zextour,215/45R17,73,4.180
Autogrip,225/45ZR17,2,4.370
Fullrun,235/65R17,1,5.650
Firemax,245/65R17,2,5.880
Tourador,265/65R17 AT,50,8.680
Fullrun,265/65R17 AT,6,7.920
Tourador,265/65R17 LT MT,8,11.230
MINNELL,225/40ZR18,20,4.560
Fullrun/autogrip,225/40ZR18,4,4.560
Autogrip/Fullrun,245/40ZR18,10,4.300
Fullrun,225/45ZR18,1,4.490
Firemax,255/55R18,33,6.650
Durun,265/60R18 D,3,7.440
Durun,265/50R20,7,8.100
Durun,155R12C,15,2.870
Tourador,155R12C,39,2.700
Fullrun,165R13C,4,3.460
Sportrak,165R13C,7,3.460
Durun,165R13C,25,3.460
Durun,185R14C,4,4.380
Autogrip/Fullrun,185R14C,8,4.440
Tourador,195R15C,300,4.600
MINNELL,195/70R15C,18,4.720
MINNELL,205/70R15C,13,4.860
Durun,205/70R15C,2,4.860
Durun,215/70R15C,7,5.190
Fullrun,215R15C,2,5.870
Durun,255/70R15C,1,6.960
Fullrun,700R16 TTF,25,8.990
Fullrun,825R16 TTF,16,11.560
Durun,825R16 TTF,27,11.510
Fullrun,9.5R17.5-18,10,11.700
Fullrun,215/75R17.5,15,9.210
Fullrun,225/75R17.5,10,10.160
Fullrun,235/75R17.5 Direcção,4,10.990
Firemax,295/80R22.5 Misto,3,14.250
Firemax,295/80R22.5 Direcção,18,14.250
Ecoroad,295/80R22.5 Direcção,43,14.000
Ecoroad,315/80R22.5 Misto,142,14.500
Zextour,315/80R22.5 Misto (ZR08),19,15.000
Ecoroad,315/80R22.5 Direcção,20,14.500
Zextour,315/80R22.5 Direcção (ZR26S),18,15.000
Lionlord,315/80R22.5 Tracção  (S839),58,16.000
Firemax,315/80R22.5 Tracção,1,15.750
Zextour,315/80R22.5 Tracção (ZR59),17,15.500
Ecoroad,315/80R22.5 Tracção (V),10,15.500
Durun,385/65R22.5 Misto  (DH205),1,19.000
Ecoroad,11R22.5 Misto,40,13.500
Firemax,11R22.5 D,1,14.000
Ecoroad,11R22.5 D,10,13.500
Durun,11R22.5 D,4,14.000
Firemax,12R22.5 Misto,1,15.250
Centara,12R22.5 Misto,1,15.250
